dat_ref,log_ret,media_ret,desvio_ret,z_retorno,media_vol,score_retorno_mercado
2017-01-02,,,,,,
2017-01-03,0.03665888274586444,,,,,
2017-01-04,-0.0036465928596660225,,,,,
2017-01-05,0.007795607973253356,,,,,
2017-01-06,-0.00656238212042874,,,,,
2017-01-09,0.0005674218933906885,,,,,
2017-01-10,0.006977223214318713,,,,,
2017-01-11,0.005041029153564679,,,,,
2017-01-12,0.0238618916558292,,,,,
2017-01-13,-0.004733328587117232,,,,,
2017-01-16,0.002808219411753036,,,,,
2017-01-17,0.00816012641274862,,,,,
2017-01-18,-0.0031750011107936345,,,,,
2017-01-19,-0.003106925942478309,,,,,
2017-01-20,0.00887358708778744,,,,,
2017-01-23,0.018853709609784053,,,,,
2017-01-24,0.001383094552075569,,,,,
2017-01-26,0.00531694567025189,,,,,
2017-01-27,-0.002374741142478119,,,,,
2017-01-30,-0.026579025937673154,,,,,
2017-01-31,0.0057221435004912264,,,,,
2017-02-01,0.00254812619052276,0.0040185719700476415,0.012445889393432554,-0.11814710327578569,,
2017-02-02,-0.0039872091397128405,0.0020830437850201514,0.010044984427690473,-0.604306852681568,,
2017-02-03,0.005805531545320496,0.0025331449471623665,0.009987011589852443,0.32766424357443635,,
2017-02-06,-0.014905624677746327,0.001452133868543334,0.010598785059742849,-1.5433616640100574,,
2017-02-07,0.003213931872825483,0.0019176726301268683,0.01044271302730688,0.1241305051004464,,
2017-02-08,0.009857946750231886,0.002360078575690735,0.010578562520564818,0.7087794924844685,,
2017-02-09,0.0020030823338520586,0.002123214724239942,0.010525566321025305,-0.011413389714519518,,
2017-02-10,0.01769822684376367,0.0027259384237732272,0.011050315597366028,1.3549195304032098,,
2017-02-13,0.012668003179291901,0.0021928961153666895,0.010218460775599986,1.0251159439725066,2912306.6666666665,79.44869575789615
2017-02-14,-0.0038150568784857436,0.0022366233395872365,0.010189262901514643,-0.5939271836016119,2997713.3333333335,33.26797147207096
2017-02-15,0.01875486522197082,0.0029959874257880835,0.010809342838987076,1.4578941597951456,3024090.0,100.0
2017-02-16,-0.0023860383954328137,0.0024937891015889674,0.010802405881065269,-0.4517352477539533,3047756.6666666665,39.05640722658752
2017-02-17,-0.0009737242769325791,0.0025986118079633033,0.010755224728355254,-0.33214890205666425,3030233.3333333335,33.88179547947369
2017-02-20,0.011520442058967595,0.003295153141365489,0.010840559272340648,0.7587513440001824,3023450.0,48.15107731241369
2017-02-21,0.007544462866460021,0.0032318615117784694,0.010810199101195858,0.3989381984837336,3042460.0,57.245940155655916
2017-02-22,-0.00671309244307238,0.0020143947473567343,0.010394569090503356,-0.8396199125178442,3067500.0,25.060577992171996
2017-02-23,-0.01659709838842436,0.0011581950835234047,0.01116139738832084,-1.5907769300040067,3095433.3333333335,2.538858483262343
2017-02-24,-0.011914577692992994,0.00033764635194031477,0.011469522026190029,-1.0682419038000033,3046263.3333333335,16.52129222385498
2017-03-01,0.004893351377811378,0.0006837459957636242,0.011493216756668881,0.36626868449210725,3034363.3333333335,44.03560674614276
2017-03-02,-0.01707307135661412,0.0011364104996235782,0.010511002447655626,-1.7324210461295384,3078750.0,0.0
2017-03-03,0.014038122288133975,0.0015324094895113282,0.010843789812171663,1.1532603467272624,3069436.6666666665,67.4321647939708
2017-03-06,-0.006685370471923454,0.0010927191722519846,0.010986800939791529,-0.7079485363209853,3080390.0,28.632578223096814
