dat_ref,log_ret,ewma_var,ewma_vol,atr,score_ewma,score_atr,retorno_ivvb,vol_ivvb,score_ivvb,score_volatilidade_mercado
2017-01-19,-0.003106925942478309,0.0001281244133180059,17.968681686795357,968.3571428571429,33.60647570574824,0.005750691109843618,-0.007386856306926148,19.245890464804148,39.501029356289926,75.29483106853495
2017-01-20,0.00887358708778744,0.00011611524418867514,17.10585909434137,960.2857142857143,28.909690882121403,0.0,-0.005980025890261587,18.251547997839975,34.59477281409886,78.62619999611952
2017-01-23,0.018853709609784053,0.0001226361867081519,17.579624299300107,895.2857142857143,31.488637289034504,0.0,-0.0062834385230962075,17.359572971272545,30.193614807714347,78.21695839393988
2017-01-24,0.001383094552075569,0.00011275310613708528,16.85638832803323,889.5714285714286,27.551693862360803,0.0,0.009417421377618362,17.577790544440735,31.2703377995888,79.97008550890183
2017-01-26,0.00531694567025189,0.00010201577398791127,16.033706697128284,884.8571428571429,23.073416830090142,0.0,0.010262618752346464,17.710414287816594,31.92472613178413,82.07834635859811
2017-01-27,-0.002374741142478119,9.843455752431465e-05,15.749764600186028,862.7142857142857,21.52777472084242,0.0,-0.01306075795917927,17.802833642011375,32.38073910136754,82.75996481930528
2017-01-30,-0.026579025937673154,0.00017407896090763608,20.94466474993675,938.7142857142857,49.806274144705306,0.0,-0.011896797469500786,17.589792746860226,31.32955872808954,68.83095118202944
2017-01-31,0.0057221435004912264,0.00015990763071220638,20.074043673230367,929.5,45.06703818129113,0.0,0.005952414127508687,17.279896416916188,29.800477001518043,71.50638550905083
2017-02-01,0.00254812619052276,0.00014639281228659234,19.20702702039576,923.3571428571429,40.34742294117156,0.0,-0.004303384779419606,16.56270274647005,26.261720230536064,74.573944483307
2017-02-02,-0.0039872091397128405,0.00013773489156522622,18.63040328990143,857.1428571428571,37.20856495342909,0.0,-0.0028362922997832163,15.866629245353426,22.827174003091955,76.83028272266706
2017-02-03,0.005805531545320496,0.00012768119389068716,17.937575326797422,885.5,33.43714787308099,0.0,0.008262232090247457,15.9108645548946,23.04543861920037,78.67233833961943
2017-02-06,-0.014905624677746327,0.0001400778798733897,18.788194625374256,952.3571428571429,38.06750392446456,0.0,-0.0028210515527313795,15.279876489627958,19.932035112749823,76.97984101521776
2017-02-07,0.003213931872825483,0.00012956096539623322,18.069134810458074,929.1428571428571,34.15329345348834,0.0,0.0018860215993155016,14.75240501969168,17.329400269952504,79.45747321926532
2017-02-08,0.009857946750231886,0.00012512941214898736,17.757424323798993,963.2857142857143,32.45649379164617,0.0,-0.0008068466555359866,14.180793289497586,14.508969800538615,80.86995914406918
2017-02-09,0.0020030823338520586,0.00011574465985419632,17.078540418682586,951.3571428571429,28.760981353235714,0.0,0.010765752631427539,14.57053493949821,16.43202205226226,82.33310491292968
2017-02-10,0.01769822684376367,0.00012491051927352635,17.741885710636467,995.2142857142857,32.37190917005624,1.5502220177532022,-0.0027958871357499637,14.0580267399474,13.903218555968136,80.5683350984523
2017-02-13,0.012668003179291901,0.00012230190521395802,17.555648696051485,970.4285714285714,31.358125813720495,0.12487214981371912,0.004138819122542214,13.679943728039904,12.03769202734076,81.87593704272749
2017-02-14,-0.0038150568784857436,0.0001174123000199923,17.2011335687617,991.9285714285714,29.42831859244101,1.3612707384298157,-0.005185472601992758,13.338798482402034,10.354422782733023,82.80657492570394
2017-02-15,0.01875486522197082,0.00012561192586866337,17.791628739073655,1031.2142857142858,32.64268592426772,3.6204708172964404,-0.0018711492945665542,12.866707835100053,8.025046432244705,80.98750650622827
2017-02-16,-0.0023860383954328137,0.00011977376015464909,17.373251727575806,1061.857142857143,30.365245793071526,5.382646878812404,0.007900325863412494,12.901294336233724,8.19570217017839,81.56344260578484
2017-02-17,-0.0009737242769325791,0.00011296763803427315,16.872416775505762,975.5714285714286,27.638944902717988,0.4206219783198932,0.0030557110029416634,12.51077855411774,6.2688302176155535,84.80057491162192
2017-02-20,0.011520442058967595,0.00010946237240141545,16.608587491161522,997.6428571428571,26.20278712292221,1.6898816589922305,0.006490037930722226,12.348337581609744,5.467318554817437,85.29817822987773
2017-02-21,0.007544462866460021,0.00010279359627445679,16.09471536286464,973.0714285714286,23.405518212050097,0.27685470057383543,0.003421531037500314,11.975479198779333,3.6275712435539025,87.48867023509202
2017-02-22,-0.00671309244307238,0.00010369451653036905,16.165091452154854,958.8571428571429,23.788611273144358,0.0,-0.012721327484631173,12.789334186361694,7.6432715579654555,86.57704005183473
2017-02-23,-0.01659709838842436,0.00012295766494048102,17.602650813159144,1036.4285714285713,31.613982385210722,3.9203282823096375,-0.001062723596598758,12.357352696370532,5.5118006796820795,81.91455018676533
2017-02-24,-0.011914577692992994,0.0001275395273483872,17.92762139598937,1008.9285714285714,33.382963534882656,2.3388882271030083,0.01662234110009786,13.726883004217727,12.269298479327347,80.1529920685623
2017-03-01,0.004893351377811378,0.00011992934663514684,17.384532019026857,998.9285714285714,30.426650190866322,1.7638191161187775,0.00915637155761595,13.670812306103745,11.99263602289335,81.85900196515254
2017-03-02,-0.01707307135661412,0.00013392755832931783,18.37110358660799,1023.6428571428571,35.797064000799,3.185061347551231,0.013480244911965311,14.062208252196163,13.923850855712288,78.36117942419267
2017-03-03,0.014038122288133975,0.0001371244847447402,18.589074790229486,1040.142857142857,36.98359278448022,4.133925380675212,-0.01010360520348308,14.458743058936996,15.880421709734538,77.09194165161041
2017-03-06,-0.006685370471923454,0.00013207205741585222,18.243398386483467,998.4285714285714,35.10189925767705,1.735065660569566,0.003746781780493702,14.010027311226464,13.666381129218658,79.19525444714688
