dat_ref,retorno,retorno_mm3,desvio_relativo,score_confianca_mercado
2025-07-11,,,,
2025-07-10,-0.23627563002049934,,,
2025-07-09,0.21870566534005764,,,
2025-07-08,0.11026276420709191,0.03089759984221674,2.568651441217615,70.86811663940422
2025-07-07,0.15087066139289895,0.15994636364668283,-0.056742160602237024,49.068310171113424
2025-07-04,0.10682506178956164,0.12265282912985083,-0.12904526909471092,48.46794542157676
2025-07-03,-0.3885083909801912,-0.043604222599243535,7.909880002927313,100.0
2025-07-02,-0.19041656135836416,-0.1573666301829979,0.21001867509606886,51.283343599819716
2025-07-01,-0.009495829029038116,-0.1961402604558645,-0.9515865380877534,41.63802077187806
2025-06-30,0.25583617275992676,0.018641260790841496,12.724188274090334,100.0
2025-06-27,-0.5987766126925753,-0.11747875632056222,4.096892676142264,83.55778082351961
2025-06-26,-0.3858026919556057,-0.24291437729608475,0.5882250208902065,54.423758483773334
2025-06-25,-0.20756330535868228,-0.3973808700022878,-0.47767162179325007,45.57314632809754
2025-06-24,-0.23907808237880745,-0.27748135989769845,-0.13839948576383465,48.39027321543288
2025-06-23,-0.12637733827194353,-0.19100624200314442,-0.3383601658951907,46.72991107959552
2025-06-20,0.2005936171577405,-0.054953934497670165,-4.6502139290180375,10.92667856981381
2025-06-18,0.12744784240696916,0.06722137376425537,0.8959422467908402,56.97887096936148
2025-06-17,-0.26212700663744704,0.021971484309087536,-12.93032764422883,0.0
2025-06-16,-0.006410144344792812,-0.04702976952509023,-0.8637002815552175,42.36777930496194
2025-06-13,-0.3758916499603693,-0.21480960031420304,0.7498829168275103,55.76607562930972
2025-06-12,-0.8034654015572129,-0.395255731954125,1.0327735605121253,58.11504200133868
2025-06-11,0.4971295632867134,-0.2274091627436229,-3.1860577528583076,23.08421611295015
2025-06-10,-0.015843536277293513,-0.10739312484926433,-0.8524715963006821,42.461016054404965
2025-06-09,0.24825473400649223,0.24318025367197071,0.02086715618516677,49.712734719466454
2025-06-06,0.9697768020490383,0.40072933325941235,1.4200294851419142,61.33059954851049
2025-06-05,-0.03681821080889769,0.3937377750822109,-1.0935094703605976,40.45957177481501
2025-06-04,-0.0055102650437510725,0.3091494420654632,-1.0178239527360502,41.08802216622446
2025-06-03,0.18155873686163115,0.04641008700299413,2.9120533613720214,73.7195349543633
2025-06-02,-0.26750198310452333,-0.030484503762214416,7.7750151746308696,100.0
2025-05-30,0.4931871092094475,0.13574795432218512,2.6331089604408615,71.40333598461741
2025-05-29,-0.4595702397217738,-0.07796170453894986,4.894820315173732,90.18332759659341
2025-05-28,-0.09140980029135326,-0.019264310267893176,3.7450336409760396,80.6361393350105
2025-05-27,-0.1338999148965736,-0.22829331830323354,-0.41347422740283923,46.106205741554405
2025-05-26,-0.06107740543183082,-0.09546237353991922,-0.36019393644879083,46.54861560747597
2025-05-23,0.12077435276587334,-0.024734322520843694,-5.882864799070053,0.6914321703872357
2025-05-22,-0.09679360290205663,-0.012365551856004705,6.827681613340508,100.0
2025-05-21,-0.021530529709223867,0.0008167400515309472,-27.36154510711913,0.0
2025-05-20,0.02677345005006604,-0.030516894187071486,-1.8773320733735952,33.95114536617637
2025-05-19,-0.018910961375073754,-0.004556013678077194,3.150769227509185,75.70169857321775
2025-05-16,0.07449418159701793,0.027452223424003403,1.7135937387090636,63.768193633197846
2025-05-15,-0.47018525357146457,-0.13820067778317346,2.4021920956795166,69.48593093016294
2025-05-14,-0.493733383972661,-0.29647481864903585,0.6653467779236184,55.0641346074363
2025-05-13,0.1688197298884253,-0.2650329692185667,-1.6369763368918961,35.94692555517832
2025-05-12,-0.14479372755916708,-0.15656912721446758,-0.0752089499686015,48.91497223580408
2025-05-09,0.03228826967163201,0.018771424000296744,0.7200756677341893,55.518572831582134
2025-05-08,-0.5314107473495366,-0.2146387350790239,1.4758380501724737,61.79400279444508
2025-05-07,-0.04720042480383935,-0.18210763416058132,-0.7408102904559272,43.388189357381314
2025-05-06,-0.07732719438049429,-0.21864612217795676,-0.6463363099686834,44.17264868168355
2025-05-05,0.182243515143643,0.019238631986436456,8.47278971145805,100.0
2025-05-02,0.8169823837252066,0.3072995681627851,1.6585861757294382,63.31144146224072
2025-04-30,-0.19739958940885316,0.26727543648666546,-1.7385624058973392,35.103411408325044
2025-04-29,-0.33199422160101744,0.09586285757177866,-4.463220584181231,12.479367174476774
2025-04-28,-0.19198090186924865,-0.24045823762637308,-0.20160397179841727,47.86545836004258
2025-04-25,-0.10928317893279527,-0.21108610080102044,-0.48228150258073754,45.53486844513955
2025-04-24,-0.7549083788932265,-0.3520574865650901,1.1442758859032396,59.04089521915934
2025-04-23,-0.15807270155755448,-0.34075475312785874,-0.5361100612491174,45.08790606943165
2025-04-22,-0.2862907785799673,-0.39975728634358276,-0.2838384981083082,47.18262864745223
2025-04-17,-0.5151316182176235,-0.31983169945171513,0.6106334021946838,54.609825203585046
2025-04-16,-0.7325985348029307,-0.5113403105335071,0.43270248738765327,53.13238597129985
2025-04-15,-0.49714106113173395,-0.5816237380507627,-0.14525314458822058,48.33336424914769
2025-04-14,-0.36203822662012053,-0.5305926075182618,-0.31767193607638033,46.901694619369884
2025-04-11,-0.6974440261541592,-0.5188744379686713,0.34414797708009215,52.39707863099821
2025-04-10,-0.3385855534784099,-0.4660226020842299,-0.2734567980949275,47.26883250311284
2025-04-09,-0.0033881181775496927,-0.3464725659367063,-0.9902211069197073,41.317220826704634
2025-04-08,-0.09764271391301538,-0.14653879518965832,-0.333673285721771,46.768828322575686
