dat_ref,retorno_diario,vol_ewma,rank_vol,rank_retorno,risco_bruto,score_risco_credito
2008-01-17,0.07455731593662618,0.10932788534871667,0.4039982425307557,0.2531854130052724,0.3285918277680141,67.1408172231986
2008-01-18,0.07455731593662618,0.10599731753177911,0.3695079086115993,0.2531854130052724,0.31134666080843587,68.86533391915641
2008-01-21,0.07455731593662618,0.10276821222779367,0.335676625659051,0.2531854130052724,0.2944310193321617,70.55689806678383
2008-01-22,0.07455731593662618,0.09963747847987237,0.30426186291739893,0.2531854130052724,0.2787236379613357,72.12763620386643
2008-01-23,0.07455731593662618,0.09660211949412605,0.26999121265377857,0.2531854130052724,0.2615883128295255,73.84116871704745
2008-01-24,0.07455731593662618,0.09365922977108002,0.23615992970123023,0.2531854130052724,0.24467267135325133,75.53273286467487
2008-01-25,0.07455731593662618,0.09080599232447847,0.20123022847100175,0.2531854130052724,0.22720782073813708,77.27921792618629
2008-01-28,0.07455731593662618,0.08803967598481521,0.17596660808435852,0.2531854130052724,0.21457601054481545,78.54239894551846
2008-01-29,0.07455731593662618,0.08535763278500977,0.15070298769771528,0.2531854130052724,0.20194420035149385,79.80557996485061
2008-01-30,0.07455731593662618,0.0827572954257263,0.12873462214411246,0.2531854130052724,0.19096001757469244,80.90399824253076
2008-01-31,0.06463527239150513,0.08023617481790918,0.11203866432337434,0.27603251318101935,0.19403558875219684,80.59644112478031
2008-02-01,0.06463527239150513,0.07779185770018272,0.09336555360281196,0.27603251318101935,0.18469903339191565,81.53009666080844
2008-02-04,-0.008598452278589908,0.07542200432883463,0.08018453427065027,0.49670474516695956,0.2884446397188049,71.1555360281195
2008-02-05,0.0,0.07312434623817175,0.06744288224956063,0.4579305799648506,0.26268673110720564,73.73132688927943
2008-02-06,0.0,0.07089668406910454,0.05909490333919156,0.4579305799648506,0.2585127416520211,74.14872583479789
2008-02-07,0.0,0.06873688546388144,0.05250439367311072,0.4579305799648506,0.25521748681898065,74.47825131810193
2008-02-08,0.0,0.06664288302495827,0.04657293497363796,0.4579305799648506,0.2522517574692443,74.77482425307558
2008-02-11,0.0,0.06461267233604855,0.03998242530755712,0.4579305799648506,0.24895650263620386,75.10434973637962
2008-02-12,0.0,0.06264431004346076,0.03427065026362039,0.4579305799648506,0.24610061511423548,75.38993848857645
2008-02-13,0.0,0.06073591199588564,0.029876977152899824,0.4579305799648506,0.2439037785588752,75.60962214411248
2008-02-14,0.0,0.058885651440853115,0.027021089630931458,0.4579305799648506,0.24247583479789103,75.7524165202109
2008-02-15,0.0,0.05709175727613249,0.024165202108963092,0.4579305799648506,0.24104789103690685,75.89521089630932
2008-02-18,0.0,0.05535251235440193,0.02218804920913884,0.4579305799648506,0.24005931458699473,75.99406854130054
2008-02-19,0.0,0.05366625183956454,0.019112478031634447,0.4579305799648506,0.23852152899824253,76.14784710017575
2008-02-20,0.0,0.05203136161313781,0.017135325131810195,0.4579305799648506,0.2375329525483304,76.24670474516697
2008-02-21,0.0,0.05044627672919067,0.015817223198594025,0.4579305799648506,0.2368739015817223,76.31260984182776
2008-02-22,0.0,0.04890947991634954,0.015377855887521968,0.4579305799648506,0.2366542179261863,76.33457820738137
2008-02-25,0.0,0.047419500125439225,0.014938488576449912,0.4579305799648506,0.23643453427065025,76.35654657293497
2008-02-26,0.0,0.04597491112136856,0.014499121265377855,0.4579305799648506,0.2362148506151142,76.37851493848858
2008-02-27,0.0,0.04457433011791287,0.014059753954305799,0.4579305799648506,0.2359951669595782,76.40048330404218
2008-02-28,0.0,0.04321641645408645,0.013620386643233744,0.4579305799648506,0.23577548330404216,76.42245166959579
2008-02-29,0.3109280138768431,0.3515219035806262,0.9668277680140598,0.03998242530755712,0.5034050966608085,49.65949033391915
2008-03-03,0.3326105810928015,0.3413184498386215,0.9648506151142355,0.035588752196836555,0.500219683655536,49.978031634446396
2008-03-04,0.33694709453599314,0.33094067429156143,0.9624340949033392,0.03536906854130053,0.49890158172231985,50.10984182776801
2008-03-05,0.2892454466608847,0.32334879423646146,0.960456942003515,0.048330404217926184,0.5043936731107206,49.56063268892794
2008-03-06,0.3542931483087599,0.31857283454492274,0.9593585237258347,0.03273286467486819,0.4960456942003515,50.39543057996485
2008-03-07,0.4280138768430184,0.3148537801854222,0.9576010544815465,0.01735500878734622,0.48747803163444636,51.25219683655536
2008-03-10,0.5884648742411103,0.33029079787713306,0.9622144112478032,0.010984182776801407,0.48659929701230226,51.34007029876977
2008-03-11,0.4930615784908934,0.3272484929205039,0.9617750439367311,0.014279437609841827,0.48802724077328646,51.19727592267136
2008-03-12,0.5147441457068518,0.31769766926393667,0.9589191564147628,0.013620386643233744,0.48626977152899825,51.37302284710017
2008-03-13,0.6274934952298352,0.3191503401247401,0.9595782073813708,0.01054481546572935,0.4850615114235501,51.493848857644984
2008-03-14,0.6795316565481353,0.31150232955188967,0.9569420035149385,0.009885764499121265,0.4834138840070299,51.65861159929701
2008-03-17,0.7489158716392021,0.30555205897522253,0.9549648506151143,0.00922671353251318,0.4820957820738137,51.79042179261864
2008-03-18,0.5407632263660018,0.32497480754812347,0.9611159929701231,0.012302284710017574,0.48670913884007033,51.329086115992965
2008-03-19,0.5060711188204685,0.31608685664438163,0.9582601054481547,0.014059753954305799,0.48615992970123023,51.384007029876976
2008-03-20,0.5364267129228102,0.30729157782253885,0.9556239015817223,0.012631810193321618,0.48412785588752194,51.58721441124781
2008-03-21,0.5364267129228102,0.29793023843280075,0.9521089630931459,0.012631810193321618,0.48237038664323373,51.76296133567663
